ФИО,марка,год выпуска,номер,цвет
Уваров Мирослав Ильясович,Skoda,2004,Т464СУ,красный
Якунова Лиана Александровна,Ford,2006,Х019МУ,синий
Фламин Чеслав Адрианович,Lada,2012,Е227ЕА,голубой
Фомичева Оливия Николаевна,Mitsubishi,1995,М070УС,белый
Крыжов Тимофей Степанович,Kia,1991,Х680НЕ,розовый
Кожедуба Василина Михайловна,Dodge,2022,Т288ЕХ,зеленый
Дуболазова Марианна Яковлевна,Lexus,1999,М341КК,розовый
Легкодимов Платон Романович,Mazda,2015,С408КР,красный
Думановский Карим Евстигнеевич,Audi,1999,А685РС,белый
Ясенков Яков Маркыч,Lexus,2007,Х902ВУ,синий
Костина Зинаида Антоновна,Honda,2016,К253ОВ,желтый
Нагиев Егор Ильмирович,Jeep,2002,К851КС,фиолетовый
Элефтеров Святослав Федосьевич,Ford,2012,Х213АК,белый
Капица Юнона Александровна,Mitsubishi,2019,М967НС,оранжевый
Зонов Мстислав Каллиникович,Kia,2003,В279РТ,зеленый
Суриков Алексей Адрианович,Mitsubishi,1995,Х872НР,синий
Яхлаков Георгий Григорьевич,Honda,2003,Н457ЕТ,красный
Ясин Дамир Абрамович,Dodge,2006,С170ТВ,фиолетовый
Пименов Вячеслав Харлампович,BMV,2011,В613УУ,синий
Крыжов Лука Адамович,Mitsubishi,1996,О990ТК,черный
Аристархов Владимир Никонович,Nissan,2006,Р371УУ,фиолетовый
Дёмшин Рустам Анатольевич,Lexus,2000,У167НУ,голубой
Шаньгина Лада Павловна,Mercedes,2010,М652СВ,фиолетовый
Махмудова Ксения Денисовна,Lada,1996,В836НО,красный
Суриков Антон Елисеевич,Lada,2013,К742АУ,фиолетовый
Яцко Антонина Феликсовна,Audi,1993,Е409НР,черный
Быстрова Дарина Виталиевна,Mitsubishi,2021,Х625ОА,белый
Янкилович Айлин Яковлевна,Kia,2007,Х976ММ,желтый
Будников Евгений Иоаннович,Tesla,2020,Р051ЕВ,розовый
Гусева Виктория Борисовна,Lexus,1990,А376УН,голубой
Скороходова Арина Тимофеевна,Honda,1990,О613ХЕ,фиолетовый
Кругликов Вениамин Елисеевич,Lexus,2005,Т731КС,желтый
Мяукин Богдан Ефимович,Honda,2018,Т380АС,фиолетовый
Думановский Степан Афанасьевич,Mazda,2021,Х855СХ,черный
Шибалкина Инна Григорьевна,Mercedes,1996,Х670ОМ,оранжевый
Кружков Остап Русланович,Volkswagen,2012,О930ТМ,зеленый
Кузинов Савва Харлампович,Kia,2019,В244НХ,розовый
Корявова Тамара Валентиновна,Tesla,1995,А236ХЕ,красный
Сигачёв Данис Семёнович,Audi,1990,А841РХ,зеленый
Рыжкова Дина Анатольевна,Mercedes,1999,К558УУ,черный
Кадников Фёдор Исаевич,Subaru,2016,М228ВТ,черный
Бабанин Василий Никитович,Lexus,2001,Т301МР,серый
Желваков Кирилл Давыдович,Lexus,2003,В550МВ,розовый
Викашев Максим Ильмирович,Toyota,1996,А642УХ,оранжевый
Ёжин Агап Феликсович,Subaru,1993,А343АЕ,оранжевый
Бенедиктов Карим Фролович,Hyundai,2016,М141АМ,желтый
Гуслякова Алла Максимовна,Renault,1997,С484МЕ,черный
Глинка Алла Яковлевна,BMV,2010,М388РА,черный
Чендев Станислав Артемьевич,Tesla,2019,Р209СН,серый
Минина Татьяна Сергеевна,BMV,2022,С491ХА,фиолетовый
Ярополов Семён Евграфович,Lada,1998,В237СХ,желтый
Кооскора Эрнст Макарович,Skoda,2005,А204СК,оранжевый
Лапухова Анастасия Михайловна,Volkswagen,2021,О133УЕ,белый
Сиякаева Анна Павловна,Audi,1995,М866СС,белый
Веточкина Регина Платоновна,Ford,2021,Е512НН,зеленый
Бабанин Роман Венедиктович,Volkswagen,1993,К494АН,зеленый
